"","iso_code","country","continent","col_name","rate"
"1","ABW","Aruba","America","reproduction_rate",100
"2","ABW","Aruba","America","icu_patients",100
"3","ABW","Aruba","America","icu_patients_per_million",100
"4","ABW","Aruba","America","hosp_patients",100
"5","ABW","Aruba","America","hosp_patients_per_million",100
"6","ABW","Aruba","America","weekly_icu_admissions",100
"7","ABW","Aruba","America","weekly_icu_admissions_per_million",100
"8","ABW","Aruba","America","weekly_hosp_admissions",100
"9","ABW","Aruba","America","weekly_hosp_admissions_per_million",100
"10","ABW","Aruba","America","total_tests",100
"11","ABW","Aruba","America","new_tests",100
"12","ABW","Aruba","America","total_tests_per_thousand",100
"13","ABW","Aruba","America","new_tests_per_thousand",100
"14","ABW","Aruba","America","new_tests_smoothed",100
"15","ABW","Aruba","America","new_tests_smoothed_per_thousand",100
"16","ABW","Aruba","America","tests_per_case",100
"17","ABW","Aruba","America","positive_rate",100
"18","ABW","Aruba","America","extreme_poverty",100
"19","ABW","Aruba","America","cardiovasc_death_rate",100
"20","ABW","Aruba","America","female_smokers",100
"21","ABW","Aruba","America","male_smokers",100
"22","ABW","Aruba","America","handwashing_facilities",100
"23","ABW","Aruba","America","hospital_beds_per_thousand",100
"24","ABW","Aruba","America","human_development_index",100
"25","ABW","Aruba","America","GDP_per_unit_of_energy_use_constant",100
"26","ABW","Aruba","America","total_deaths",11.42
"27","ABW","Aruba","America","total_deaths_per_million",11.42
"28","ABW","Aruba","America","stringency_index",3.15
"29","ABW","Aruba","America","total_cases",1.97
"30","ABW","Aruba","America","new_cases",1.97
"31","ABW","Aruba","America","new_deaths",1.97
"32","ABW","Aruba","America","total_cases_per_million",1.97
"33","ABW","Aruba","America","new_cases_per_million",1.97
"34","ABW","Aruba","America","new_deaths_per_million",1.97
"35","ABW","Aruba","America","new_cases_smoothed",0.39
"36","ABW","Aruba","America","new_deaths_smoothed",0.39
"37","ABW","Aruba","America","new_cases_smoothed_per_million",0.39
"38","ABW","Aruba","America","new_deaths_smoothed_per_million",0.39
"39","ABW","Aruba","America","continent",0
"40","ABW","Aruba","America","location",0
"41","ABW","Aruba","America","date",0
"42","ABW","Aruba","America","tests_units",0
"43","ABW","Aruba","America","population",0
"44","ABW","Aruba","America","population_density",0
"45","ABW","Aruba","America","median_age",0
"46","ABW","Aruba","America","aged_65_older",0
"47","ABW","Aruba","America","aged_70_older",0
"48","ABW","Aruba","America","gdp_per_capita",0
"49","ABW","Aruba","America","diabetes_prevalence",0
"50","ABW","Aruba","America","life_expectancy",0
"51","ABW","Aruba","America","Country_Clasification",0
"52","ABW","Aruba","America","Government_Type",0
"53","ABW","Aruba","America","Corruption_preception",0
"54","ABW","Aruba","America","Development_Status",0
"55","ABW","Aruba","America","Land_Conditions",0
"56","ABW","Aruba","America","Population_total",0
"57","ABW","Aruba","America","Urban_population_PC_of_total_population",0
"58","AFG","Afghanistan","Asia","icu_patients",100
"59","AFG","Afghanistan","Asia","icu_patients_per_million",100
"60","AFG","Afghanistan","Asia","hosp_patients",100
